year,Low income,Lower middle income,Upper middle income,High income
1960,38.1,48.1,55.5,65.6
1961,38.5,48.5,56.1,66.1
1962,38.8,49,56.6,66.3
1963,39.2,49.6,57.2,66.6
1964,39.6,50,57.7,67
1965,40,50.5,58.2,67.3
1966,40.4,51,58.7,67.7
1967,40.8,51.5,59.1,67.9
1968,41.2,52,59.6,68.1
1969,41.7,52.4,60.1,68.3
1970,42.1,52.8,60.5,68.7
1971,42.6,53.2,61,68.9
1972,43,53.6,61.4,69.2
1973,43.5,53.9,61.8,69.6
1974,44,54.2,62.2,69.8
1975,44.5,54.6,62.6,70.1
1976,44.9,54.9,63,70.4
1977,45.4,55.3,63.4,70.7
1978,45.9,55.7,63.7,70.9
1979,46.3,56.2,64,71.1
1980,46.8,56.7,64.4,71.3
1981,47.2,57.4,64.7,71.6
1982,47.6,57.9,65.2,71.7
1983,48,58.4,65.4,72.1
1984,48.4,58.8,65.8,72.3
1985,48.7,59.2,66.1,72.5
1986,48.9,59.6,66.5,72.9
1987,49.1,59.9,67,73
1988,49.2,60.2,67,73.3
1989,49.3,60.6,67.2,73.5
1990,49.3,61,67.5,73.7
1991,49.4,61.2,67.7,73.9
1992,49.5,61.4,67.8,73.9
1993,49.6,61.6,67.8,74.2
1994,49.8,61.7,67.9,74.5
1995,50.1,61.9,68,74.6
1996,50.4,62,68.1,75.1
1997,50.7,62.2,68.5,75.2
1998,51,62.4,68.4,75.6
1999,51.4,62.6,68.5,75.8
2000,51.8,62.8,68.8,76.1
2001,52.2,63.1,69,76.4
2002,52.6,63.3,69.3,76.5
2003,53.2,63.7,69.4,76.7
2004,53.7,64,69.7,77.2
2005,54.4,64.4,70,77.3
2006,55,64.7,70.3,77.5
2007,55.7,65.1,70.6,77.7
2008,56.4,65.5,70.9,78
2009,57.1,65.9,71.2,78.2
2010,57.7,66.2,71.5,78.5
2011,58.3,66.5,71.8,78.8
2012,58.9,66.8,72,78.9
2013,59.5,67.1,72.3,79.1
2014,60,67.3,72.5,79.5
2015,60.5,67.6,72.7,79.6
