id	name	population	
CHN	China	1371220000	
IND	India	1311050527	
USA	United States	321418820	
IDN	Indonesia	257563815	
BRA	Brazil	207847528	
PAK	Pakistan	188924874	
BGD	Bangladesh	160995642	
NGA	Nigeria	182201962	
RUS	Russia	144096870	
JPN	Japan	126958472	
MEX	Mexico	127017224	
PHL	Philippines	100699395	
VNM	Vietnam	91713300	
ETH	Ethiopia	99390750	
DEU	Germany	81679769	
EGY	Egypt	91508084	
TUR	Turkey	78665830	
COD	"Congo, Democratic Republic of the"	77266814	
IRN	Iran	79109272	
THA	Thailand	67959359	
FRA	France	66538391	
GBR	United Kingdom	65128861	
ITA	Italy	60730582	
MMR	Burma	53897154	
ZAF	South Africa	55011976.68	
KOR	"Korea, South"	50617045	
UKR	Ukraine	45154029	
COL	Colombia	48228704	
SDN	Sudan	40234882	
TZA	Tanzania	53470420	
ARG	Argentina	43416755	
ESP	Spain	46443994	
KEN	Kenya	46050302	
POL	Poland	37986412	
DZA	Algeria	39666519	
CAN	Canada	35848610	
UGA	Uganda	39032383	
MAR	Morocco	34377511	
PER	Peru	31376670	
IRQ	Iraq	36423395	
SAU	Saudi Arabia	31540372	
AFG	Afghanistan	32526562	
NPL	Nepal	28513700	
UZB	Uzbekistan	31298900	
VEN	Venezuela	31108083	
MYS	Malaysia	30331007	
GHA	Ghana	27409893	
YEM	Yemen	26832215	
TWN	Taiwan	23024956	
PRK	"Korea, North"	25155317	
SYR	Syria	18502413	
ROU	Romania	19815308	
MOZ	Mozambique	27977863	
AUS	Australia	23789752	
LKA	Sri Lanka	20966000	
MDG	Madagascar	24235390	
CIV	Cote d'Ivoire	22701556	
CMR	Cameroon	23344179	
NLD	Netherlands	16939923	
CHL	Chile	17948141	
BFA	Burkina Faso	18105570	
NER	Niger	19899120	
KAZ	Kazakhstan	17544126	
MWI	Malawi	17215232	
ECU	Ecuador	16144363	
KHM	Cambodia	15577899	
SEN	Senegal	15129273	
MLI	Mali	17599694	
GTM	Guatemala	16342897	
AGO	Angola	25021974	
