Country	CountryCode	Region	Continent	GDP	GDP_perCapita	lifeExpectancy
Afghanistan	AFG	Asia | South & West	Asia	15936784437	594.32	60.7172
Albania	ALB	Europe | South & East	Europe	11926957255	3945.22	78.0145
Algeria	DZA	Africa | North & East	Africa	1.61207E+11	4154.12	75.0425
Angola	AGO	Africa | South & West	Africa	82470894868	4101.47	52.6661
Antigua and Barbuda	ATG	America | North & Central	Americas	1135539037	13714.73	76.1002
Argentina	ARG	America | South	Americas	4.62704E+11	13467.42	76.3342
Armenia	ARM	Asia | South & West	Asia	9260287416	3489.13	74.7971
Aruba	ABW	America | North & Central	Americas	2467703911	0	75.5736
Australia	AUS	Oceania	Oceania	1.14127E+12	56290.65	82.4512
Austria	AUT	Europe | North & West	Europe	3.89656E+11	43636.75	81.8439
Azerbaijan	AZE	Asia | South & West	Asia	52902703376	5497.49	70.8488
"Bahamas, The"	BHS	America | North & Central	Americas	7910000000	22817.23	75.3968
Bahrain	BHR	Asia | South & West	Asia	25713544825	22600.21	76.8191
Bangladesh	BGD	Asia | South & West	Asia	1.15279E+11	1211.7	72.0012
Barbados	BRB	America | North & Central	Americas	4433700000	15429.34	75.6584
Belarus	BLR	Europe | South & East	Europe	55220932614	5754.6	73.6244
Belgium	BEL	Europe | North & West	Europe	4.84404E+11	40454.17	81.2878
Belize	BLZ	America | North & Central	Americas	1397113450	4878.72	70.1924
Benin	BEN	Africa | South & West	Africa	6561782313	762.05	59.7207
Bermuda	BMU	America | North & Central	Americas	5744414000	0	81.0122
Bhutan	BTN	Asia | South & West	Asia	1585396256	2656	69.8329
Bolivia	BOL	America | South	Americas	19649631308	3076.79	68.7396
Bosnia and Herzegovina	BIH	Europe | South & East	Europe	16847493059	4249.33	76.5886
Botswana	BWA	Africa | South & West	Africa	13746712711	6360.14	64.4874
Brazil	BRA	America | South	Americas	2.14307E+12	8677.77	74.6759
Brunei Darussalam	BRN	Asia | East & Central	Asia	12369708859	30554.73	79.0408
Bulgaria	BGR	Europe | South & East	Europe	48669060512	6993.48	74.4659
Burkina Faso	BFA	Africa | South & West	Africa	8992678844	589.77	58.9313
Burundi	BDI	Africa | North & East	Africa	2026864414	277.07	57.107
Cabo Verde	CPV	Africa | South & West	Africa	1664310633	3080.18	73.3556
Cambodia	KHM	Asia | East & Central	Asia	11242266334	1158.69	68.6561
Cameroon	CMR	Africa | South & West	Africa	23622482955	1217.26	55.9344
Canada	CAN	America | North & Central	Americas	1.61407E+12	43315.7	82.1376
Central African Republic	CAF	Africa | South & West	Africa	1986014759	323.2	51.4191
Chad	TCD	Africa | South & West	Africa	10657705537	775.7	51.8733
Chile	CHL	America | South	Americas	2.17502E+11	13416.23	81.7876
China	CHN	Asia | East & Central	Asia	5.9305E+12	8069.21	75.9863
Colombia	COL	America | South	Americas	2.87018E+11	6056.15	74.182
Comoros	COM	Africa | North & East	Africa	516962949.5	717.45	63.554
"Congo, Rep."	COG	Africa | South & West	Africa	12007880067	1851.2	62.8677
Costa Rica	CRI	America | North & Central	Americas	36298327670	11260.09	79.5865
Cote d'Ivoire	CIV	Africa | South & West	Africa	24884503951	1398.99	51.9198
